seed,value,params,trial_number,batch_size,n_steps,gamma,lr,ent_coef,cliprange,noptepochs,lamdba,max_grad_norm,vf_coef,cliprange_vf
2024,26.0,"{'gamma': 0.95, 'lr': 0.013693261053371531, 'tau': 0.12097182593241297, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 5569, 'train_freq': 104, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",88,64,,0.95,0.013693261053371531,1.0,,,,,,
2024,-26.0,"{'gamma': 0.99, 'lr': 0.002043600908408353, 'tau': 0.08455097123377897, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 4754, 'train_freq': 54, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",89,64,,0.99,0.002043600908408353,1.0,,,,,,
2024,22.0,"{'gamma': 0.99, 'lr': 0.005285529828518808, 'tau': 0.08133394334662475, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 4641, 'train_freq': 68, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",90,64,,0.99,0.005285529828518808,1.0,,,,,,
2024,8.0,"{'gamma': 0.99, 'lr': 0.006725612196456778, 'tau': 0.046778784148359585, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 4309, 'train_freq': 31, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",91,64,,0.99,0.006725612196456778,1.0,,,,,,
2024,2.0,"{'gamma': 0.99, 'lr': 0.0022157329358520844, 'tau': 0.16803111933897957, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3590, 'train_freq': 250, 'gradient_steps': 10, 'ent_coef': 0.1, 'net_arch': 'big'}",92,64,,0.99,0.0022157329358520844,0.1,,,,,,
2024,-50.0,"{'gamma': 0.9, 'lr': 0.0016617190123229442, 'tau': 0.1376952500772699, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3015, 'train_freq': 2, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",93,64,,0.9,0.0016617190123229442,1.0,,,,,,
2024,-6.0,"{'gamma': 0.9, 'lr': 0.0015354396770472982, 'tau': 0.08750156552152495, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3224, 'train_freq': 61, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",94,64,,0.9,0.0015354396770472982,1.0,,,,,,
2024,18.0,"{'gamma': 0.9, 'lr': 0.0007511203565293151, 'tau': 0.26171503628927856, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 2696, 'train_freq': 122, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",95,64,,0.9,0.0007511203565293151,1.0,,,,,,
2024,6.0,"{'gamma': 0.99, 'lr': 0.003974129660539953, 'tau': 0.11352336933880194, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3111, 'train_freq': 86, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",96,64,,0.99,0.003974129660539953,1.0,,,,,,
2024,-14.0,"{'gamma': 0.9, 'lr': 0.0029009150831104365, 'tau': 0.4888504856570366, 'batch_size': 32, 'buffer_size': 100000, 'learning_starts': 1066, 'train_freq': 18, 'gradient_steps': 10, 'ent_coef': 0.5, 'net_arch': 'small'}",97,32,,0.9,0.0029009150831104365,0.5,,,,,,
2024,-6.0,"{'gamma': 0.9, 'lr': 0.0010531846998230068, 'tau': 0.31304042151663664, 'batch_size': 64, 'buffer_size': 1000000, 'learning_starts': 3864, 'train_freq': 41, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",98,64,,0.9,0.0010531846998230068,1.0,,,,,,
2024,,"{'gamma': 0.9, 'lr': 0.0016615269151780826, 'tau': 0.0534245250062495, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 2560, 'train_freq': 3, 'gradient_steps': 300, 'ent_coef': 1.0, 'net_arch': 'small'}",99,64,,0.9,0.0016615269151780826,1.0,,,,,,
2024,,"{'gamma': 0.9, 'lr': 0.0016306348290997111, 'tau': 0.14355757603407596, 'batch_size': 16, 'buffer_size': 100000, 'learning_starts': 3448, 'train_freq': 1, 'gradient_steps': 300, 'ent_coef': 1.0, 'net_arch': 'small'}",100,16,,0.9,0.0016306348290997111,1.0,,,,,,
